;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
3454;10;10;0.5;1000;96.59470195889129;95.99730956533483
3455;10;10;0.5;1000;96.58425839191248;95.9246655296223
3456;10;10;0.5;1000;96.58280564076556;95.95980357148984
3457;10;10;0.5;1000;96.56242080950139;95.90686558660693
3458;10;10;0.5;1000;96.55163707693299;95.86399633011862
3459;10;10;0.5;1000;96.5318533332163;95.81999644420787
3460;10;10;0.5;2000;96.59066370404771;95.8267643083798
3461;10;10;0.5;2000;96.63619401724094;95.8447713644883
3462;10;10;0.5;2000;96.6802193972465;95.87653152849269
3463;10;10;0.5;2000;96.720769529293;95.88047083176552
3464;10;10;0.5;2000;96.74800222148805;95.88418129345943
3465;10;10;0.5;2000;96.78566881608637;95.89360233933145
3466;10;10;0.5;2000;96.80440283742058;95.91446685696083
3467;10;10;0.5;2000;96.81768399629783;95.93151659553688
3468;10;10;0.5;2000;96.86949379781947;95.95988708280989
3469;10;10;0.5;2000;96.87062892978285;95.96461712378682
3470;10;10;0.5;5000;96.95760240017323;96.00431974484256
3471;10;10;0.5;5000;96.99321892071492;96.02246757060472
3472;10;10;0.5;5000;97.02289986034995;96.03409390583388
3473;10;10;0.5;5000;97.05713251017174;96.05208250542739
3474;10;10;0.5;5000;97.12276516611799;96.08443824781183
3475;10;10;0.5;5000;97.18237891794473;96.112008927004
3476;10;10;0.5;5000;97.23409790617123;96.13593210253546
3477;10;10;0.5;5000;97.28997395722513;96.16356578050389
3478;10;10;0.5;5000;97.3391583424505;96.18687023070406
3479;10;10;0.5;5000;97.38530549262519;96.2103263637588
3480;10;15;0.0001;1000;54.541289003593484;54.74078899819165
3481;10;15;0.0001;1000;55.41773094263109;55.23284900436947
3482;10;15;0.0001;1000;55.27127988273859;55.05424079436324
3483;10;15;0.0001;1000;54.925450443409176;54.70890817864279
3484;10;15;0.0001;1000;55.169898082212;54.886441167796214
3485;10;15;0.0001;1000;55.544386763209445;55.48265564287305
